Résumé,Clé de ticket,Type de ticket,État,Priorité,Rapporteur,Durée(mn),Création,Description,Champs personnalisés (Action menée),Canal,Entreprise,Utilisateur,Objet principal,Champs personnalisés (Module)
Appel pour signaler mauvaise incrémentation des numéros de Bon de commande,OBCS-12146,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.23,07/déc./25 10:22,Appel pour signaler mauvaise incrémentation des numéros de Bon de commande,Explication en ligne,Appel Téléphonique,ARIC,Sika Simone Monique,Bug,Opérations
"Appel pour signaler ""Serveur Error"" et non affichage des documents",OBCS-12145,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.39,07/déc./25 10:20,"Appel pour signaler ""Serveur Error"" et non affichage des documents",Explication en ligne,Appel Téléphonique,KORI TRANSPORT,Brahima COULIBALY,Relance sur Bug en cours,Global
Appel pour report du Point Hebdo à Mardi,OBCS-12144,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.36,07/déc./25 10:18,Appel pour report du Point Hebdo à Mardi,Autres (Précisez dans la description),Appel Téléphonique,KORI TRANSPORT,Brahima COULIBALY,Planning Séance de travail,Global
Appel pour demande séance de travail entre Mardi et Mercredi pour mise au point,OBCS-12143,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.17,07/déc./25 10:15,Appel pour demande séance de travail entre Mardi et Mercredi pour mise au point,Autres (Précisez dans la description),Appel Téléphonique,ETS MAB,Rodrigue KOUAKOU,Planning Séance de travail,Global
Appel pour signaler importance workflow caisse sur la limite des sorties à 240.000 maximum,OBCS-12142,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.22,07/déc./25 10:13,Appel pour signaler importance workflow caisse sur la limite des sorties à 240.000 maximum,Explication en ligne,Appel Téléphonique,ETS MAB,Rodrigue KOUAKOU,Relance sur Requête en cours,Finance
Appel pour signaler affichage à nouveau des bulletins,OBCS-11982,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.5,30/nov./25 07:33,Appel pour signaler affichage à nouveau des bulletins,Explication en ligne,Appel Téléphonique,ARIC,Sanankoua Mickaelle,Assistance,RH
Appel pour signaler impossibilité d'exporter bulletin de salaire,OBCS-11981,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.06,30/nov./25 07:32,Appel pour signaler impossibilité d'exporter bulletin de salaire,Explication en ligne,Appel Téléphonique,ARIC,Sanankoua Mickaelle,Assistance,RH
Appel pour assistance en ligne sur ventilation analytique sur la caisse,OBCS-11980,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,29.35,30/nov./25 07:30,Appel pour assistance en ligne sur ventilation analytique sur la caisse,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,SYLVER KOUASSI,Assistance,Finance
Appel après rappel manqué pour assistance sur écriture de paie et compta ana,OBCS-11979,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,14.24,30/nov./25 07:28,Appel après rappel manqué pour assistance sur écriture de paie et compta ana,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,Fabrice KOUAME,Assistance,Finance
Appel pour signaler mail de Miss Ahni pour les tiers se retrouvant dans la balance générale,OBCS-11978,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.26,30/nov./25 07:25,Appel pour signaler mail de Miss Ahni pour les tiers se retrouvant dans la balance générale,Explication en ligne,Appel Téléphonique,ARIC,NADIA CISSE,Relance sur Bug en cours,Finance
Appel pour signaler accès toujours pas disponible pour comptable,OBCS-11977,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.08,30/nov./25 07:23,Appel pour signaler accès toujours pas disponible pour comptable,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,Jean-Jacques LIKANE,Autres,Global
Appel pour demande de revue des accès de comptable,OBCS-11976,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.37,30/nov./25 07:21,Appel pour demande de revue des accès de comptable,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,Jean-Jacques LIKANE,Assistance,Global
Appel pour planning séance de travail sur RH Mardi,OBCS-11975,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.29,30/nov./25 07:19,Appel pour planning séance de travail sur RH Mardi,Explication en ligne,Appel Téléphonique,CSCTICAO,SERGE ARIKO,Planning Séance de travail,RH
Rappel après avoir manqué mon appel pour mise au point état de règlement,OBCS-11974,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.35,30/nov./25 07:17,Rappel après avoir manqué mon appel pour mise au point état de règlement,Explication en ligne,Appel Téléphonique,CSCTICAO,SERGE ARIKO,Autres,Global
Demande d'information sur un montant pour traitement de base du fichier,OBCS-11973,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1,30/nov./25 07:14,Appel pour demande d'information sur un montant pour traitement de base du fichier,Explication en ligne,Appel Téléphonique,ARIC,MELEDJE Cyrielle,Assistance,Finance
Relance état de fichier d'import à traiter,OBCS-11972,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.26,30/nov./25 07:12,Appel pour relance état de fichier d'import à traiter,Explication en ligne,Appel Téléphonique,ARIC,MELEDJE Cyrielle,Assistance,Finance
Appel pour planifier séance de travail online pour test rapprochement bancaire,OBCS-11971,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.26,30/nov./25 07:10,Appel pour planifier séance de travail online pour test rapprochement bancaire,Explication en ligne,Appel Téléphonique,ARIC,MELEDJE Cyrielle,Assistance,Finance
Appel pour demande de report séance de formation,OBCS-11970,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.18,30/nov./25 07:04,Appel pour demande de report séance de formation,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Diane N'GBLA,Planning Séance de travail,RH
Rappel après traitement du bug + tests,OBCS-11969,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.43,30/nov./25 07:02,Rappel après traitement du bug + tests,Explication en ligne,Appel Téléphonique,EDIPRESSE,ZAGBAYOU ANNE,Relance sur Bug en cours,RH
Appel pour signaler l'impossibilité d'exporter en vrac le livre de paie général,OBCS-11968,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.19,30/nov./25 06:57,Appel pour signaler l'impossibilité d'exporter en vrac le livre de paie général,Explication en ligne,Appel Téléphonique,EDIPRESSE,ZAGBAYOU ANNE,Bug,RH
Rappel après checking avec Martial pour proposer la reprise des saisies manuelles pour les écritures de paie de Mai et Juin 2025,OBCS-11967,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,3.09,30/nov./25 06:50,Rappel après checking avec Martial pour proposer la reprise des saisies manuelles pour les écritures de paie de Mai et Juin 2025,Explication en ligne,Appel Téléphonique,ARIC,Tapé Thibault Julien,Assistance,Finance
Appel pour signaler non affichage des écritures de paie dans l'historique des saisies manuelles + Séance online,OBCS-11966,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,7.56,30/nov./25 06:48,Appel pour signaler non affichage des écritures de paie dans l'historique des saisies manuelles + Séance online,Explication en ligne,Appel Téléphonique,ARIC,Tapé Thibault Julien,Assistance,Finance
Appel après traitement du point sur le Salaire de Base qui avait changé de position,OBCS-11965,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.48,30/nov./25 06:44,Appel après traitement du point sur le Salaire de Base qui avait changé de position,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,Brahima COULIBALY,Assistance,RH
Appel pour signaler écart au niveau des nets pour le mois de Novembre 2025,OBCS-11964,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.52,30/nov./25 06:42,Appel pour signaler écart au niveau des nets pour le mois de Novembre 2025,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,Brahima COULIBALY,Assistance,RH
Appel pour relance sur paiement en attente,OBCS-11867,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.01,23/nov./25 15:31,Appel pour relance sur paiement en attente,Explication en ligne,Appel Téléphonique,CSCTICAO,SERGE ARIKO,Autres,Global
Appel pour valider séance de travail du Jeudi matin,OBCS-11866,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.46,23/nov./25 15:29,Appel pour valider séance de travail du Jeudi matin,Explication en ligne,Appel Téléphonique,ENVIPUR,KOUAME Djate,Planning Séance de travail,Finance
"Appel pour information mise à jour des nouvelles intégrations (Bulletin sur une page, RH V2, Dashboard RH V2)",OBCS-11865,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,8.22,23/nov./25 15:26,"Appel pour information mise à jour des nouvelles intégrations (Bulletin sur une page, RH V2, Dashboard RH V2)",Explication en ligne,Appel Téléphonique,EDIPRESSE,ZAGBAYOU ANNE,Autres,RH
Appel pour demande de report du RDV du Jeudi matin au Jeudi aprem,OBCS-11864,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.49,23/nov./25 15:24,Appel pour demande d'assistance sur Rapprochement bancaire,Explication en ligne,Appel Téléphonique,LABOGEM,KANATE VASSIRIKI,Autres,Opérations
Appel pour demande d'assistance sur Rapprochement bancaire,OBCS-11863,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.33,23/nov./25 15:22,Appel pour demande d'assistance sur Rapprochement bancaire,Séance Google Meet/Zoom,Appel Téléphonique,ARIC,MELEDJE Cyrielle,Assistance,Finance
Rappel afin d'avoir le détail du workflow Frais de mission pour paramétrage,OBCS-11862,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.45,23/nov./25 15:17,Rappel afin d'avoir le détail du workflow Frais de mission pour paramétrage,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,Kouamé Stéphane,Relance sur Requête en cours,RH
Appel pour confirmation prise en charge des stagiaires dans la nouvelle paie,OBCS-11861,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.58,23/nov./25 15:15,Appel pour confirmation prise en charge des stagiaires dans la nouvelle paie,Explication en ligne,Appel Téléphonique,S-TEL,Jean-Claude SAMPENNIE,Assistance,RH
Appel pour échange sur report de la séance à Lundi 24/11,OBCS-11860,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.12,23/nov./25 15:12,Appel pour échange sur report de la séance à Lundi 24/11,Explication en ligne,Appel Téléphonique,ARIC,NADIA CISSE,Assistance,Global
Appel pour demande des accès après perte de données,OBCS-11804,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.46,16/nov./25 07:30,Appel pour demande des accès après perte de données,Explication en ligne,Appel Téléphonique,EDIPRESSE,ZAGBAYOU ANNE,Autres,Global
Appel pour retour après assistance auprès des autres collaborateurs,OBCS-11803,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.19,16/nov./25 07:25,Appel pour retour après assistance auprès des autres collaborateurs,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Kouadio N'dri Florent Alfred YAO,Assistance,Opérations
Appel pour demande d'assistance sur Workflow Achat embarqué,OBCS-11802,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.19,16/nov./25 07:23,Appel pour demande d'assistance sur Workflow Achat embarqué,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Kouadio N'dri Florent Alfred YAO,Assistance,Opérations
Appel pour demande d'ajournement dépôt de chèque au 27/11,OBCS-11801,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.5,16/nov./25 07:18,Appel pour demande d'ajournement dépôt de chèque au 27/11,Explication en ligne,Appel Téléphonique,CILAGRI,Natacha Seri,Autres,Global
Appel pour point sur non affichage de documents + traitement et envoie,OBCS-11800,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,5.02,16/nov./25 07:16,Appel pour point sur non affichage de documents + traitement et envoie,Explication en ligne,Appel Téléphonique,ARIC,Kramo,Assistance,Finance
Appel pour demande d'assistance sur paie pour Mercredi avec Bernice,OBCS-11799,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.36,16/nov./25 07:11,Appel pour demande d'assistance sur paie pour Mercredi avec Bernice,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Diane N'GBLA,Planning Séance de travail,RH
Appel pour relancer sur point de Balance âgée à partir des écritures manuelles,OBCS-11798,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,6.38,16/nov./25 07:07,Appel pour relancer sur point de Balance âgée à partir des écritures manuelles,Explication en ligne,Appel Téléphonique,CILAGRI,GOSSE,Relance sur Requête en cours,Finance
Appel pour confirmation séance de travail avec Bernice,OBCS-11797,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.1,16/nov./25 07:05,Appel pour confirmation séance de travail avec Bernice,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,Kouamé Stéphane,Planning Séance de travail,Opérations
Appel pour solliciter séance de travail avec équipe achats,OBCS-11796,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,5.05,16/nov./25 07:03,Appel pour solliciter séance de travail avec équipe achats,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,Kouamé Stéphane,Planning Séance de travail,Opérations
Appel pour confirmation de séance de travail ce jour,OBCS-11795,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.2,16/nov./25 07:00,Appel pour confirmation de séance de travail ce jour,Explication en ligne,Appel Téléphonique,ENVIPUR,KOUAME Djate,Planning Séance de travail,Finance
Appel pour plainte sur bug RH et autres,OBCS-11794,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,13.23,16/nov./25 06:58,Appel pour plainte sur bug RH et autres,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,KADIA KOFFI,Assistance,Global
Appel pour confirmation de gouvernance au Mercredi 19/11,OBCS-11793,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.41,16/nov./25 06:56,Appel pour confirmation de gouvernance au Mercredi 19/11,Explication en ligne,Appel Téléphonique,EGBV,Amary TCHOTCHE,Planning Séance de travail,Global
Appel pour demande de vérification après traitement de point sur l'erreur au niveau de CRM,OBCS-11792,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.48,16/nov./25 06:55,Appel pour demande de vérification après traitement de point sur l'erreur au niveau de CRM,Explication en ligne,Appel Téléphonique,EGBV,Amary TCHOTCHE,Assistance,CRM
Appel pour demande de vérification message d'erreur sur le poste d'un collaborateur avec les accès Commercial,OBCS-11791,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,3.5,16/nov./25 06:53,Appel pour demande de vérification message d'erreur sur le poste d'un collaborateur avec les accès Commercial,Explication en ligne,Appel Téléphonique,EGBV,Amary TCHOTCHE,Assistance,CRM
Appel pour planification séance de travail sur compta ana et Stock,OBCS-11790,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.43,16/nov./25 06:49,Appel pour planification séance de travail sur compta ana et Stock,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,Brahima COULIBALY,Planning Séance de travail,Finance
Appel pour sollicitation assistance pour enregistrement Rapprochement bancaire,OBCS-11789,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.56,16/nov./25 06:46,Appel pour sollicitation assistance pour enregistrement Rapprochement bancaire,Explication en ligne,Appel Téléphonique,ARIC,MELEDJE Cyrielle,Assistance,Finance
Séance de travail en ligne pour revue et traitement point Devis import,OBCS-11788,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,23,16/nov./25 06:44,Séance de travail en ligne pour revue et traitement point Devis import,Explication en ligne,Appel Téléphonique,ARIC,Fidel Benao,Assistance,Opérations
Appel pour relancer sur point Devis - prix en devise pour traitement,OBCS-11787,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,7.25,16/nov./25 06:42,Appel pour relancer sur point Devis - prix en devise pour traitement,Explication en ligne,Appel Téléphonique,ARIC,Fidel Benao,Relance sur Requête en cours,Opérations
Appel pour planifier séance de validation finale Process de vente,OBCS-11786,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.41,16/nov./25 06:40,Appel pour planifier séance de validation finale Process de vente,Explication en ligne,Appel Téléphonique,LABOGEM,KANATE VASSIRIKI,Planning Séance de travail,Opérations
Appel pour replanifier séance de travail avec DG + Consultant comptable,OBCS-11785,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.28,16/nov./25 06:35,Appel pour replanifier séance de travail avec DG + Consultant comptable,Explication en ligne,Appel Téléphonique,S-TEL,Jean-Claude SAMPENNIE,Planning Séance de travail,Finance
Appel pour assistance sur fichier du personnel,OBCS-11701,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,12.09,09/nov./25 09:29,Appel pour assistance sur fichier du personnel,Explication en ligne,Appel Téléphonique,SERTEM,MAMADOU NDIAYE,Assistance,RH
Appel pour relance sur paiement facture,OBCS-11700,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.51,09/nov./25 09:26,Appel pour relance sur paiement facture,Explication en ligne,Appel Téléphonique,CSCTICAO,,Autres,Global
Appel pour relance sur paiement facture,OBCS-11699,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.19,09/nov./25 09:24,Appel pour relance sur paiement facture,Explication en ligne,Appel Téléphonique,CSCTICAO,,Autres,Global
Appel pour signaler dysfonctionnement sur numéro de Bon de commande,OBCS-11698,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,4.18,09/nov./25 09:21,Appel pour signaler dysfonctionnement sur numéro de Bon de commande,Explication en ligne,Appel Téléphonique,ARIC,NDADJI Koua Henry Michel,Bug,Opérations
Appel pour point OBC,OBCS-11697,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,23.59,09/nov./25 09:18,Appel pour point OBC,Explication en ligne,Appel Téléphonique,ARIC,NADIA CISSE,Assistance,Finance
Appel pour confirmer prise en main pour planification gouvernance,OBCS-11696,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.26,09/nov./25 09:14,Appel pour confirmer prise en main pour planification gouvernance,Explication en ligne,Appel Téléphonique,EGBV,Amary TCHOTCHE,Planning Séance de travail,Global
Appel pour assistance sur comptabilité,OBCS-11695,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.38,09/nov./25 09:12,Appel pour assistance sur comptabilité,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,ANGE KOUASSI,Assistance,Opérations
Appel pour valider et confirmer séance de travail du Vendredi,OBCS-11694,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.14,09/nov./25 09:09,Appel pour valider et confirmer séance de travail du Vendredi,Explication en ligne,Appel Téléphonique,AFREX/MEHO CAPITAL,Ena Kipre epse BAZIE,Assistance,RH
Appel pour planifier séance de travail + revue des éléments à intégrer,OBCS-11693,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.36,09/nov./25 09:06,Appel pour planifier séance de travail + revue des éléments à intégrer,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,Brahima COULIBALY,Assistance,Finance
Appel pour planifier séance en présentiel chez K&D,OBCS-11692,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.52,09/nov./25 09:03,Appel pour planifier séance en présentiel chez K&D,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Jacob N'DJAN,Assistance,Projets
Appel pour création des paramètres projets dans OBC,OBCS-11691,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.34,09/nov./25 09:00,Appel pour création des paramètres projets dans OBC,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Jacob N'DJAN,Assistance,Projets
Appel pour spécifier type de projet dans paramétrage,OBCS-11690,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.58,09/nov./25 08:58,Appel pour spécifier type de projet dans paramétrage,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,Jacob N'DJAN,Assistance,Projets
Appel pour relance sur requête de génération balance âgée à partir des écritures manuelles,OBCS-11689,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.02,09/nov./25 08:54,Appel pour relance sur requête de génération balance âgée à partir des écritures manuelles,Explication en ligne,Appel Téléphonique,CILAGRI,GOSSE,Relance sur Requête en cours,Finance
Appel pour relance sur requête de génération balance âgée à partir des écritures manuelles,OBCS-11688,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.06,09/nov./25 08:31,Appel pour relance sur requête de génération balance âgée à partir des écritures manuelles,Explication en ligne,Appel Téléphonique,CILAGRI,GOSSE,Relance sur Requête en cours,Finance
Appel pour demander finalisation complète pour Achat import,OBCS-11608,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.54,02/nov./25 15:49,Appel pour demander finalisation complète pour Achat import,Explication en ligne,Appel Téléphonique,ARIC,,Assistance,Opérations
Appel pour signaler non affichage des bulletins de salaires,OBCS-11607,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0,02/nov./25 15:48,Appel pour signaler non affichage des bulletins de salaires,Autres (Précisez dans la description),Chat WhatsApp,KOFFI & DIABATE,,Bug,RH
Appel pour assistance sur expression de besoin sur plusieurs entités,OBCS-11606,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,7.43,02/nov./25 15:45,Appel pour assistance sur expression de besoin sur plusieurs entités,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,,Assistance,Opérations
Appel pour signaler personne n'existant pas dans le workflow de caisse,OBCS-11604,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.05,02/nov./25 15:44,Appel pour signaler personne n'existant pas dans le workflow de caisse,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,Finance
Appel pour relance sur assistance stock initial pour traitement par Bernice,OBCS-11603,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.46,02/nov./25 15:42,Appel pour relance sur assistance stock initial pour traitement par Bernice,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Relance sur Requête en cours,Opérations
Appel pour confirmation traitement de point sur les écritures manuelles,OBCS-11601,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.55,02/nov./25 15:39,Appel pour confirmation traitement de point sur les écritures manuelles,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,,Assistance,Finance
Appel pour assistance sur tiers ne se déversant pas au moment de la saisie des écritures manuelles,OBCS-11600,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,15.5,02/nov./25 15:38,Appel pour assistance sur tiers ne se déversant pas au moment de la saisie des écritures manuelles,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,,Assistance,Finance
Appel pour création de 3 comptes utilisateurs + modification 1 compte existant,OBCS-11599,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,5.44,02/nov./25 15:35,Appel pour création de 3 comptes utilisateurs + modification 1 compte existant,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,,Assistance,Global
Appel pour confirmation du point sur comptabilisation des écritures d'immobilisation,OBCS-11598,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.47,02/nov./25 15:30,Appel pour confirmation du point sur comptabilisation des écritures d'immobilisation,Explication en ligne,Appel Téléphonique,SIE-TRAVAUX,,Assistance,Opérations
Appel pour relance sur suite du plan d'action et démarrage,OBCS-11597,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,5.15,02/nov./25 15:27,Appel pour relance sur suite du plan d'action et démarrage,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,,Planning Séance de travail,Global
Appel pour relancer sur la gouvernance qui devait se tenir depuis,OBCS-11548,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.4,27/oct./25 08:38,Appel pour relancer sur la gouvernance qui devait se tenir depuis,Explication en ligne,Appel Téléphonique,EGBV,,Planning Séance de travail,Global
Appel de M. Sanankoua pour RDV Jeudi pour revue Process Programmation règlement Salaire + Gestion des ouvriers,OBCS-11547,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.33,27/oct./25 08:34,Appel de M. Sanankoua pour RDV Jeudi pour revue Process Programmation règlement Salaire + Gestion des ouvriers,Explication en ligne,Appel Téléphonique,ARIC,,Planning Séance de travail,RH
Appel pour relance sur facture en cours,OBCS-11545,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.29,27/oct./25 08:08,Appel pour relance sur facture en cours,Explication en ligne,Appel Téléphonique,CSCTICAO,,Autres,Global
Appel pour relancer sur paiement factures,OBCS-11544,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.31,27/oct./25 08:02,Appel pour relancer sur paiement factures,Explication en ligne,Appel Téléphonique,WITTI,,Autres,Global
Appel pour guider Corinne sur le choix de l'exercice pour l'enregistrement de sa demande de sortie de caisse,OBCS-11543,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.46,27/oct./25 07:56,Appel pour guider Corinne sur le choix de l'exercice pour l'enregistrement de sa demande de sortie de caisse,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,,Assistance,Finance
